action,action_result,distance_to_goal,experiment,gamma,loss,orientation,reward,signal1,signal2,signal3,speed,time
1,FORWARD,597.8745915908545,1,0.96,,-0.3127075659167079,0.2,1.0,1.0,1.0,3,205
1,FORWARD,596.1816468692889,1,0.96,,-0.3084806219029994,0.2,1.0,1.0,1.0,3,206
1,FORWARD,594.455868534871,1,0.96,,-0.304245527977165,0.2,1.0,1.0,1.0,3,207
1,ON_EDGE,592.6974977929693,1,0.96,,-0.30000205294906523,-0.9,1.0,1.0,1.0,3,208
1,FORWARD,586.1595700411425,1,0.96,,-0.2992246224802916,0.2,1.0,0.0,1.0,3,209
1,FORWARD,584.3213957290153,1,0.96,,-0.2894291718144143,0.2,1.0,0.0,1.0,3,210
1,FORWARD,582.4515774791141,1,0.96,,-0.28516313554758216,0.2,1.0,0.0,1.0,3,211
1,FORWARD,580.5503818853181,1,0.96,,-0.2808876246871218,0.2,1.0,0.0,1.0,3,212
1,FORWARD,578.6180816611745,1,0.96,,-0.2766023851029302,0.2,1.0,0.0,1.0,3,213
1,FORWARD,576.6549557106234,1,0.96,,-0.2723071581153938,0.2,1.0,0.0,1.0,3,214
1,FORWARD,574.6612892015145,1,0.96,,-0.26800168035909816,0.2,1.0,0.0,1.0,3,215
1,FORWARD,572.6373736420184,1,0.96,,-0.2636856836436127,0.2,1.0,0.0,1.0,3,216
1,FORWARD,570.5835069600321,1,0.96,,-0.2593588948113009,0.2,1.0,0.0,1.0,3,217
1,FORWARD,568.499993585685,1,0.96,,-0.2550210355921118,0.2,1.0,0.0,1.0,3,218
1,FORWARD,566.3871445370532,1,0.96,,-0.2506718224553085,0.2,0.0,0.0,1.0,3,219
-14,FORWARD,564.2452775091936,1,0.96,,-0.24631096645809755,0.2,1.0,0.0,1.0,3,220
1,FORWARD,562.6857843426066,1,0.96,,-0.3252715064244573,0.2,1.0,0.0,1.0,3,221
1,FORWARD,561.0933190358396,1,0.96,,-0.3211637206568374,0.2,1.0,0.0,1.0,3,222
1,FORWARD,559.4680872139165,1,0.96,,-0.31704846348577487,0.2,1.0,0.0,1.0,3,223
1,FORWARD,557.810299725934,1,0.96,,-0.3129255139561164,0.2,1.0,0.0,1.0,3,224
1,FORWARD,556.1201726932918,1,0.96,,-0.30879464730595835,0.2,1.0,0.0,1.0,3,225
